Sentence,Choice_A,Choice_B,Correct_Answer,Phase,Lesson,Illustratable,Purpose
Mi ___ me ama.,mamá,mapa,mamá,1,2,Yes,Fill-in-Blank
Amo a mi ___.,mamá,mimo,mamá,1,2,Yes,Fill-in-Blank
Ese es mi ___.,mapa,mamá,mapa,1,2,Yes,Fill-in-Blank
Mamá me ___.,mima,ama,mima,1,2,Yes,Fill-in-Blank
La ___ es mía.,mesa,mula,mesa,1,2,Yes,Fill-in-Blank
Mi ___ y mi mamá.,papá,puma,papá,1,3,Yes,Fill-in-Blank
___ me ama.,Papá,Pipa,Papá,1,3,Yes,Fill-in-Blank
El ___ es de papá.,mapa,puma,mapa,1,3,Yes,Fill-in-Blank
Amo a mi ___.,papá,pipa,papá,1,3,Yes,Fill-in-Blank
El ___ es mío.,puma,papa,puma,1,3,Yes,Fill-in-Blank
La ___ es de mamá.,sopa,suma,sopa,1,4,Yes,Fill-in-Blank
Esa es la ___.,mesa,masa,mesa,1,4,Yes,Fill-in-Blank
El ___ es mío.,sapo,peso,sapo,1,4,Yes,Fill-in-Blank
Mi mamá ama la ___.,sopa,mesa,sopa,1,4,Yes,Fill-in-Blank
Eso es la ___.,suma,sopa,suma,1,4,No,Fill-in-Blank
Mamá ama el ___.,mapa,sapo,mapa,1,5,Yes,Fill-in-Blank
La ___ de mamá.,sopa,suma,sopa,1,5,Yes,Fill-in-Blank
Mi papá y mi ___.,mamá,mapa,mamá,1,5,Yes,Fill-in-Blank
Esa es mi ___.,mesa,masa,mesa,1,5,Yes,Fill-in-Blank
El ___ es de papá.,peso,paso,peso,1,5,No,Fill-in-Blank
La ___ sale.,luna,lupa,luna,1,6,Yes,Fill-in-Blank
El ___ es mío.,palo,pelo,palo,1,6,Yes,Fill-in-Blank
Esa es la ___.,lima,loma,lima,1,6,Yes,Fill-in-Blank
Mamá me da la ___.,lupa,luna,lupa,1,6,Yes,Fill-in-Blank
Sale la ___.,luna,lima,luna,1,6,Yes,Fill-in-Blank
El ___ de mamá.,pato,tapa,pato,1,7,Yes,Fill-in-Blank
La ___ de la mesa.,tapa,tela,tapa,1,7,Yes,Fill-in-Blank
___ la pelota.,Toma,Ata,Toma,1,7,No,Fill-in-Blank
Papá ___ el pato.,ata,tapa,ata,1,7,Yes,Fill-in-Blank
La ___ es mía.,tela,tapa,tela,1,7,Yes,Fill-in-Blank
Mi ___ y mi mano.,dedo,dado,dedo,1,8,Yes,Fill-in-Blank
El ___ sale de día.,sol,lodo,sol,1,8,Yes,Fill-in-Blank
La ___ de mamá.,dama,soda,dama,1,8,Yes,Fill-in-Blank
Esa ___ es mía.,soda,dama,soda,1,8,Yes,Fill-in-Blank
Mi mamá me ___.,da,di,da,1,8,No,Fill-in-Blank
La ___ de papá.,pelota,paleta,pelota,1,9,Yes,Fill-in-Blank
Esa ___ es de mamá.,patata,pelota,patata,1,9,Yes,Fill-in-Blank
Mi ___ y mi tomate.,paleta,semilla,paleta,1,9,Yes,Fill-in-Blank
El ___ es mío.,tomate,paleta,tomate,1,9,Yes,Fill-in-Blank
La ___ de mi papá.,semilla,pelota,semilla,1,9,Yes,Fill-in-Blank
La ___ nada.,rana,ropa,rana,2,11,Yes,Fill-in-Blank
El ___ mira.,toro,loro,toro,2,11,Yes,Fill-in-Blank
Esa ___ es de mamá.,ropa,mora,ropa,2,11,Yes,Fill-in-Blank
La ___ es mía.,pera,mora,pera,2,11,Yes,Fill-in-Blank
El ___ es de papá.,loro,toro,loro,2,11,Yes,Fill-in-Blank
La ___ de mamá.,casa,cama,casa,2,12,Yes,Fill-in-Blank
El ___ es de papá.,carro,caro,carro,2,12,Yes,Fill-in-Blank
Mi ___ es mía.,cuna,cama,cuna,2,12,Yes,Fill-in-Blank
Esa ___ es de mamá.,cama,casa,cama,2,12,Yes,Fill-in-Blank
La ___ de mi papá.,cola,cosa,cola,2,12,No,Fill-in-Blank
La ___ de papá.,cena,cine,cena,2,13,Yes,Fill-in-Blank
El ___ es dulce.,cine,circo,cine,2,13,Yes,Fill-in-Blank
Son ___.,cinco,cinta,cinco,2,13,No,Fill-in-Blank
El ___ de mamá.,circo,cena,circo,2,13,Yes,Fill-in-Blank
La ___ es mía.,cinta,cena,cinta,2,13,Yes,Fill-in-Blank
La ___ de mamá.,boca,bata,boca,2,14,Yes,Fill-in-Blank
El ___ es de papá.,lobo,bola,lobo,2,14,Yes,Fill-in-Blank
Mi ___ es mío.,bebé,boca,bebé,2,14,Yes,Fill-in-Blank
Esa ___ es de mamá.,bata,boca,bata,2,14,Yes,Fill-in-Blank
La ___ de mi papá.,bola,bata,bola,2,14,Yes,Fill-in-Blank
La ___ de canela.,corona,cocina,corona,2,15,Yes,Fill-in-Blank
Mi ___ es mía.,cocina,corona,cocina,2,15,Yes,Fill-in-Blank
El ___ de la casa.,canela,corona,canela,2,15,No,Fill-in-Blank
